,AutoAmps,AutoSpeaker,TeleopAmps,TeleopSpeaker,Sum
0,,,,,0
1,0,1,0,8,9
2,0,0,0,5,5
3,0,2,0,7,9
4,0,3,2,10,15
5,0,5,9,1,15
6,0,2,3,7,12
7,0,2,0,7,9
8,0,1,0,5,6
9,0,1,4,1,6
10,0,1,4,3,8
11,0,0,5,19,24
12,0,4,6,7,17
13,0,1,1,10,12
14,0,2,0,11,13
15,0,1,2,3,6
16,0,1,0,2,3
17,0,2,2,11,15
18,0,3,0,6,9
19,0,3,5,8,16
20,0,4,5,5,14
21,0,2,2,14,18
22,0,2,3,12,17
23,0,3,0,8,11
24,0,5,7,14,26
25,0,4,2,6,12
26,0,7,1,14,22
27,0,1,5,7,13
28,0,1,0,5,6
29,0,4,4,7,15
30,0,0,3,10,13
31,0,3,5,7,15
32,0,1,5,1,7
33,0,3,5,10,18
34,0,2,5,8,15
35,0,6,6,9,21
36,0,0,5,8,13
37,0,0,3,2,5
38,0,2,1,10,13
39,0,1,0,12,13
40,0,3,1,22,26
41,0,5,0,10,15
42,0,1,6,7,14
43,0,1,4,10,15
44,0,4,3,13,20
45,0,3,5,4,12
46,0,5,1,8,14
47,0,1,1,3,5
48,0,3,1,12,16
49,0,1,6,6,13
50,0,4,3,5,12
51,0,2,1,10,13
52,0,2,0,13,15
53,0,0,1,0,1
54,0,1,4,10,15
55,0,1,0,9,10
56,0,0,4,10,14
57,0,0,3,7,10
58,0,2,1,10,13
59,0,3,2,13,18
60,0,5,4,6,15
61,0,2,4,12,18
62,0,1,1,6,8
63,0,2,4,16,22
64,0,3,4,9,16
65,0,2,5,8,15
66,0,4,0,10,14
