,AutoAmps,AutoSpeaker,TeleopAmps,TeleopSpeaker,Sum
0,0,0,0,0,0
1,0,1,0,8,9
2,0,0,0,5,5
3,0,2,1,4,7
4,0,3,2,10,15
5,0,5,9,2,16
6,0,1,3,9,13
7,0,1,0,7,8
8,0,1,0,5,6
9,0,1,4,1,6
10,0,1,4,2,7
11,0,0,5,19,24
12,0,4,6,7,17
13,0,1,1,8,10
14,0,1,0,14,15
15,0,1,2,3,6
16,0,0,0,1,1
17,0,1,2,11,14
18,0,3,0,5,8
19,0,4,5,8,17
20,0,2,8,7,17
21,0,3,2,14,19
22,0,1,4,9,14
23,0,3,0,7,10
24,0,6,7,14,27
25,0,4,1,6,11
26,0,7,1,12,20
27,0,1,5,7,13
28,0,0,0,5,5
29,0,3,3,6,12
30,0,0,3,11,14
31,0,3,5,7,15
32,0,1,3,1,5
33,0,1,5,10,16
34,0,2,5,7,14
35,0,5,6,8,19
36,0,0,5,7,12
37,0,0,3,2,5
38,0,2,1,9,12
39,0,1,0,11,12
40,0,7,1,16,24
41,0,5,0,8,13
42,0,1,7,7,15
43,0,1,4,8,13
44,0,1,2,13,16
45,0,3,5,3,11
46,1,5,0,8,14
47,0,1,1,4,6
48,0,3,3,13,19
49,0,1,6,6,13
50,0,3,3,3,9
51,0,2,1,10,13
52,0,2,0,12,14
53,0,0,1,0,1
54,0,0,3,6,9
55,0,1,0,9,10
56,0,0,3,9,12
57,0,0,3,7,10
58,0,2,2,9,13
59,0,3,2,12,17
60,0,5,4,7,16
61,0,2,4,13,19
62,0,1,1,6,8
63,0,2,4,16,22
64,0,3,4,9,16
65,0,2,5,8,15
66,0,4,0,10,14
