,AutoAmps,AutoSpeaker,TeleopAmps,TeleopSpeaker,Sum
0,,,,,0
1,0,0,0,11,11
2,0,2,2,4,8
3,0,1,4,11,16
4,0,2,4,5,11
5,0,1,5,8,14
6,0,5,6,4,15
7,0,1,1,17,19
8,0,3,0,10,13
9,0,0,3,7,10
10,0,0,0,3,3
11,0,1,3,3,7
12,0,6,6,7,19
13,0,5,6,18,29
14,0,0,5,1,6
15,0,2,2,7,11
16,0,1,1,5,7
17,0,1,1,11,13
18,0,0,3,7,10
19,0,1,5,5,11
20,0,9,1,9,19
21,0,3,3,7,13
22,0,1,0,15,16
23,0,1,4,9,14
24,0,2,4,3,9
25,0,4,6,13,23
26,0,2,0,4,6
27,0,1,1,13,15
28,0,2,2,2,6
29,0,6,1,14,21
30,0,1,3,8,12
31,0,1,7,3,11
32,0,4,3,6,13
33,0,0,1,3,4
34,0,1,7,12,20
35,0,2,4,7,13
36,0,4,3,3,10
37,0,4,3,11,18
38,0,1,2,9,12
39,0,3,4,16,23
40,0,3,5,9,17
41,0,1,5,6,12
42,0,4,6,8,18
43,0,1,3,9,13
44,0,2,2,10,14
45,0,1,5,10,16
46,0,5,7,10,22
47,0,4,6,15,25
48,0,1,0,1,2
49,0,1,6,7,14
50,0,5,3,14,22
51,0,5,1,14,20
52,0,2,0,18,20
53,0,7,1,13,21
54,0,2,2,5,9
55,0,2,5,14,21
56,0,0,0,9,9
57,0,7,5,11,23
58,0,1,3,4,8
59,0,3,0,18,21
60,0,2,0,8,10
61,0,2,9,9,20
62,0,3,0,7,10
63,0,2,2,2,6
64,0,0,1,3,4
65,0,2,0,9,11
66,0,5,5,8,18
