,AutoAmps,AutoSpeaker,TeleopAmps,TeleopSpeaker,Sum
0,0,0,0,0,0
1,0,0,1,11,12
2,0,2,2,4,8
3,0,1,4,11,16
4,0,2,4,5,11
5,0,1,5,6,12
6,0,3,6,4,13
7,0,1,0,17,18
8,0,3,0,9,12
9,0,0,3,7,10
10,0,0,2,3,5
11,0,1,3,3,7
12,0,5,6,8,19
13,0,5,6,15,26
14,0,0,6,1,7
15,0,2,2,7,11
16,0,1,1,4,6
17,0,1,1,10,12
18,0,0,3,7,10
19,0,0,4,5,9
20,0,9,1,11,21
21,0,4,4,7,15
22,0,1,0,17,18
23,0,1,4,11,16
24,0,1,4,4,9
25,0,3,6,12,21
26,0,2,0,5,7
27,0,1,2,13,16
28,0,2,3,2,7
29,0,6,1,12,19
30,0,1,7,8,16
31,0,1,6,3,10
32,0,3,3,6,12
33,0,0,1,3,4
34,0,0,6,11,17
35,0,2,4,7,13
36,0,3,3,3,9
37,0,4,3,11,18
38,0,1,2,9,12
39,0,3,4,16,23
40,0,3,5,9,17
41,0,1,5,6,12
42,0,4,6,8,18
43,0,1,3,7,11
44,0,1,3,13,17
45,0,2,5,9,16
46,0,5,6,8,19
47,0,3,4,15,22
48,0,0,0,0,0
49,0,1,6,7,14
50,0,6,5,13,24
51,0,5,1,14,20
52,0,2,0,17,19
53,0,7,1,13,21
54,0,2,2,5,9
55,0,2,5,14,21
56,0,0,0,9,9
57,0,6,5,10,21
58,0,1,3,4,8
59,0,3,0,19,22
60,0,2,0,8,10
61,0,2,9,9,20
62,0,2,0,6,8
63,0,2,2,2,6
64,0,0,1,3,4
65,0,2,0,8,10
66,0,5,5,9,19
