TeamNumber,Match,AutoAmps,AutoSpeaker,AutoLeave,AutoMiddle,TeleopAmps,TeleopSpeaker,Chain,Harmony,Trap,Park,Mobility
5104,1,0,1,True,False,0,8,False,False,False,False,True
841,1,0,0,True,False,0,11,False,False,False,False,True
6918,1,0,0,False,False,0,0,False,False,False,False,False
6884,1,0,0,False,False,0,0,False,False,False,False,False
8546,1,0,0,False,False,0,0,False,False,False,False,False
253,1,0,0 ,True,False,1,0,False,False,False,False,True
2035,2,0,0,False,False,0,0,False,False,False,False,False
5026,2,0,1,True,True,0,1,False,False,False,False,True
8404,2,0,0,True,False,0,0,False,False,False,False,True
7419,2,0,0,False,False,0,5,False,False,False,False,False
9125,2,0,1,True,False,0,2,False,False,False,False,True
2367,2,0,0,False,False,2,1,False,False,False,False,False
2073,3,0,2,True,False,0,4,False,False,False,False,True
2473,3,0,1,True,False,0,1,False,False,False,False,True
4990,3,0,0,True,False,1,0,False,False,False,False,True
6348,3,0,0,True,False,0,0,False,False,False,False,True
668,3,0,0,False,False,0,8,False,False,False,False,False
1351,3,0,0,True,False,4,2,False,False,False,False,True
581,4,0,2,True,True,0,10,False,False,True,False,True
972,4,0,0,False,False,0,2,False,False,False,False,False
3309,4,0,0,True,False,0,0,False,False,False,False,True
192,4,0,1,True,False,2,0,False,False,False,False,True
1967,4,0,1,False,False,0,2,False,False,False,False,False
2288,4,0,1,True,False,4,1,False,False,False,False,True
2813,5,0,0,False,False,1,1,False,False,False,False,False
8048,5,0,1,False,False,0,1,False,False,False,False,False
604,5,0,5,True,False,8,0,False,False,False,False,True
3008,5,0,0,False,False,0,1,False,False,False,False,False
670,5,0,0,True,False,5,5,False,False,False,False,True
5027,5,0,0,False,False,0,0,False,False,False,False,False
987,6,0,1,True,False,3,8,False,False,False,False,True
3859,6,0,1,False,False,0,4,False,False,False,False,False
3189,6,0,0,True,False,0,1,False,False,False,False,True
1868,6,0,0,False,False,0,0,False,False,False,False,False
100,6,0,0,False,False,6,0,False,False,False,False,False
3256,6,0,2,True,False,0,0,False,False,False,False,True
9470,7,0,1,True,False,0,5,False,False,False,False,True
6238,7,0,0,False,False,0,5,False,False,False,False,False
9114,7,0,0,True,False,0,1,False,False,False,False,True
9504,7,0,0,False,False,0,1,False,False,False,False,False
7413,7,0,0,False,False,0,1,False,False,False,False,False
1678,7,0,1,True,True,0,11,False,False,True,False,True
253,8,0,0,False,False,0,0,False,False,False,False,False
581,8,0,2,True,False,0,9,False,False,True,False,True
668,8,0,1,False,False,0,5,False,False,False,False,False
5027,8,0,0,False,False,0,0,False,False,False,False,False
8404,8,0,0,True,False,0,0,False,False,False,False,True
9125,8,0,1,True,False,0,0,False,False,False,False,True
2288,9,0,0,False,False,4,1,False,False,False,False,False
2813,9,0,0,True,False,3,3,False,False,False,False,True
3256,9,0,0,True,False,0,0,False,False,False,False,True
2073,9,0,1,True,False,0,0,False,False,False,False,True
972,9,0,0,False,False,0,0,False,False,False,False,False
5104,9,0,0,True,False,0,4,False,False,False,False,True
2367,10,0,1,False,False,3,0,False,True,False,False,False
9114,10,0,0,False,False,0,2,False,False,False,False,False
9504,10,0,0,False,False,0,2,False,False,False,False,False
4990,10,0,0,True,False,1,0,False,True,False,False,True
1868,10,0,0,False,False,0,1,False,False,False,False,False
192,10,0,0,True,False,2,0,False,False,False,False,True
670,11,0,0,True,True,5,5,False,False,False,False,True
3859,11,0,0,False,False,3,3,False,False,False,False,False
2473,11,0,0,True,False,0,5,False,False,False,False,True
7419,11,0,0,False,False,0,9,False,False,False,False,False
6884,11,0,0,True,False,0,0,False,False,False,False,True
3008,11,0,1,False,False,0,0,False,False,False,False,False
3309,12,0,0,False,False,6,0,False,False,False,False,False
2035,12,0,1,False,False,0,0,False,False,False,False,False
987,12,0,3,True,True,0,7,False,False,False,False,True
7413,12,0,1,False,False,0,0,False,False,False,False,False
1678,12,0,3,True,True,6,4,False,False,True,False,True
8048,12,0,1,True,True,0,4,False,False,False,False,True
841,13,0,0,True,False,0,2,False,False,False,False,True
604,13,0,4,True,True,0,13,False,False,False,False,True
1351,13,0,1,False,False,6,0,False,False,False,False,False
9470,13,0,0,True,False,0,6,False,False,False,False,True
6348,13,0,0,True,False,1,0,False,False,False,False,True
1967,13,0,1,False,False,0,2,False,False,False,False,False
8546,14,0,0,False,False,1,0,False,False,False,False,False
100,14,0,0,False,False,5,1,False,False,False,False,False
3189,14,0,0,False,False,0,4,False,False,False,False,False
6918,14,0,0,False,False,0,0,False,False,False,False,False
6238,14,0,1,True,False,0,5,False,False,False,False,True
5026,14,0,0,True,False,0,5,False,False,False,False,True
2367,15,0,1,False,False,2,0,False,False,False,False,False
2288,15,0,1,True,False,0,5,False,False,False,False,True
4990,15,0,0,True,False,2,0,False,False,False,False,True
668,15,0,0,False,False,0,2,False,False,False,False,False
6884,15,0,1,False,False,0,0,False,False,False,False,False
7413,15,0,0,False,False,0,3,False,False,False,False,False
7419,16,0,0,False,False,0,4,False,False,False,False,False
9114,16,0,0,True,False,0,0,False,False,False,False,True
3309,16,0,0,True,False,0,0,False,False,False,False,True
2073,16,0,1,False,False,1,0,False,False,False,False,False
5027,16,0,0,False,False,0,0,False,False,False,False,False
841,16,0,0,True,False,0,1,False,False,False,False,True
5026,17,0,1,True,False,0,8,False,False,False,False,True
8546,17,0,0,False,False,1,0,False,False,False,False,False
972,17,0,1,True,False,2,5,False,False,False,False,True
9504,17,0,0,False,False,0,2,False,False,False,False,False
1868,17,0,0,False,False,0,3,False,False,False,False,False
2473,17,0,0,False,False,0,3,False,False,False,False,False
2035,18,0,0,False,False,0,0,False,False,False,False,False
253,18,0,0,True,False,3,0,False,False,False,False,True
3859,18,0,1,False,False,0,0,False,False,False,False,False
100,18,0,0,False,False,0,7,False,False,False,False,False
8048,18,0,1,True,False,0,3,False,False,False,False,True
9470,18,0,1,False,False,0,2,False,False,False,False,False
581,19,0,2,True,True,0,7,False,False,False,False,True
1351,19,0,1,False,False,5,1,False,False,False,False,False
670,19,0,0,True,True,4,4,False,False,False,False,True
3189,19,0,0,True,True,0,1,False,False,False,False,True
1967,19,0,1,False,False,0,0,False,False,False,False,False
3008,19,0,0,False,False,0,0,False,False,False,False,False
2813,20,0,0,False,False,1,2,False,False,False,False,False
1678,20,0,2,True,True,7,5,False,False,True,False,True
604,20,0,6,True,True,1,9,False,False,False,False,True
8404,20,0,1,False,False,0,0,False,False,False,False,False
6918,20,0,0,False,False,0,0,False,False,False,False,False
5104,20,0,2,True,False,0,2,False,False,False,False,True
9125,21,0,2,True,False,0,5,False,False,False,False,True
987,21,0,1,True,True,2,4,False,False,False,False,True
3256,21,0,2,True,True,0,7,False,False,False,False,True
6348,21,0,1,True,False,1,0,False,False,False,False,True
6238,21,0,0,False,False,0,5,False,False,False,False,False
192,21,0,1,False,False,3,0,False,False,False,False,False
3859,22,0,0,False,False,1,2,False,False,False,False,False
670,22,0,0,True,False,1,2,False,False,False,False,True
7413,22,0,0,False,False,0,4,False,False,False,False,False
5026,22,0,1,True,False,0,9,False,False,False,False,True
2288,22,0,1,True,False,2,5,False,False,False,False,True
841,22,0,0,True,False,0,4,False,False,False,False,True
7419,23,0,1,False,False,0,5,False,False,False,False,False
9504,23,0,1,False,False,0,0,False,False,False,False,False
4990,23,0,0,True,False,0,0,False,False,False,False,True
100,23,0,1,True,False,0,9,False,False,False,False,True
1967,23,0,1,False,False,0,2,False,False,False,False,False
2813,23,0,0,True,False,4,2,False,False,False,False,True
581,24,0,2,False,True,0,8,False,False,True,False,False
604,24,0,3,True,True,7,3,False,False,False,False,True
2367,24,0,1,False,False,4,0,False,False,False,False,False
8048,24,0,0,True,False,0,4,False,False,False,False,True
6238,24,0,1,False,False,0,3,False,False,False,False,False
1868,24,0,0,True,False,0,0,False,False,False,False,True
987,25,0,1,True,False,2,5,False,False,False,False,True
2073,25,0,1,True,False,4,0,False,False,False,False,True
6884,25,0,0,False,False,0,0,False,False,False,False,False
8404,25,0,4,True,False,1,6,False,False,False,False,True
253,25,0,0,True,False,0,0,False,False,False,False,True
972,25,0,1,True,True,0,7,False,False,False,False,True
668,26,0,2,True,False,0,3,False,False,False,False,True
1678,26,0,6,False,False,1,10,False,False,True,False,False
9114,26,0,0,True,False,0,2,False,False,False,False,True
3008,26,0,0,True,False,0,0,False,False,False,False,True
3256,26,0,1,True,False,0,2,False,False,False,False,True
8546,26,0,0,False,False,0,0,False,False,False,False,False
3309,27,0,0,True,False,2,0,False,False,False,False,True
6918,27,0,0,False,False,0,0,False,False,False,False,False
9125,27,0,0,False,False,0,8,False,False,False,False,False
192,27,0,0,True,False,2,1,False,False,False,False,True
1351,27,0,1,False,False,3,6,False,False,False,False,False
2473,27,0,1,True,True,0,5,False,False,False,False,True
3189,28,0,1,True,False,1,0,False,False,False,False,True
5027,28,0,0,False,False,0,0,False,False,False,False,False
6348,28,0,1,True,False,2,0,False,False,False,False,True
2035,28,0,0,False,False,0,1,False,False,False,False,False
9470,28,0,0,True,False,0,4,False,False,False,False,True
5104,28,0,0,True,False,0,2,False,False,False,False,True
3859,29,0,1,False,False,0,3,False,False,False,False,False
8404,29,0,2,True,False,0,0,False,False,False,False,True
7419,29,0,0,False,False,0,4,False,False,False,False,False
8048,29,0,1,True,False,0,6,False,True,False,False,True
2073,29,0,0,False,False,3,0,False,True,False,False,False
581,29,0,5,True,True,1,5,False,False,False,False,True
1967,30,0,1,False,False,0,8,False,False,False,False,False
668,30,0,0,False,False,0,8,False,False,False,False,False
3309,30,0,0,True,True,4,0,False,False,False,False,True
6884,30,0,0,False,False,0,0,False,False,False,False,False
670,30,0,0,True,False,3,3,False,False,False,False,True
1868,30,0,0,True,False,3,0,False,False,False,False,True
8546,31,0,0,False,False,0,0,False,False,False,False,False
972,31,0,1,True,False,6,1,False,False,False,False,True
9504,31,0,0,False,False,0,2,False,False,False,False,False
192,31,0,0,True,False,0,0,False,False,False,False,True
2035,31,0,0,False,False,0,0,False,False,False,False,False
987,31,0,3,True,True,5,7,False,False,False,False,True
9114,32,0,0,True,False,0,0,False,False,False,False,True
3189,32,0,1,False,False,0,2,False,False,False,False,False
2288,32,0,2,True,True,3,1,False,False,False,False,True
9470,32,0,0,False,False,0,3,False,False,False,False,False
6918,32,0,0,False,False,0,0,False,False,False,False,False
2367,32,0,1,False,False,3,1,False,False,False,False,False
5104,33,0,0,True,False,0,3,False,False,False,False,True
3008,33,0,0,True,False,0,2,False,False,False,False,True
253,33,0,0,True,False,1,0,False,False,False,False,True
6348,33,0,0,True,False,0,1,False,False,False,False,True
100,33,0,1,True,True,5,2,False,False,False,False,True
7413,33,0,0,False,False,0,5,False,False,False,False,False
